species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriallity,foraging_environment,daily_activity,BMR,NOTES
Dicrostonyx_groenlandicus,Mammalia,Rodentia,3.3,66,nonvolant,semifossorial,terrestrial,cathemeral,0.009407883,
Didelphis_marsupialis,Mammalia,Didelphimorphia,4.2,1530,nonvolant,nonfossorial,semiarboreal,nocturnal,0.002566675,
Didelphis_virginiana,Mammalia,Didelphimorphia,6.6,3000,nonvolant,nonfossorial,semiarboreal,nocturnal,0.00184048,
Diphylla_ecaudata,Mammalia,Chiroptera,8,28,volant,nonfossorial,terrestrial,nocturnal,0.006794564,
Dipodomys_deserti,Mammalia,Rodentia,8.6,116,nonvolant,semifossorial,terrestrial,nocturnal,0.004848008,
Dipodomys_heermanni,Mammalia,Rodentia,8.3,65,nonvolant,semifossorial,terrestrial,nocturnal,0.006450764,
Dipodomys_merriami,Mammalia,Rodentia,9.7,42,nonvolant,semifossorial,terrestrial,nocturnal,0.006309835,
Dipodomys_ordii,Mammalia,Rodentia,9.9,57,nonvolant,semifossorial,terrestrial,nocturnal,0.007285975,
Dasyurus_viverrinus,Mammalia,Dasyuromorphia,6.8,1090,nonvolant,nonfossorial,terrestrial,nocturnal,0.002509158,
Dendrolagus_matschiei,Mammalia,Diprotodontia,26.9,7200,nonvolant,nonfossorial,semiarboreal,cathemeral,0.001171376,
Desmodillus_auricularis,Mammalia,Rodentia,6.1,54.5,nonvolant,semifossorial,terrestrial,nocturnal,0.006799567,
Desmodus_rotundus,Mammalia,Chiroptera,29.2,33.2,volant,nonfossorial,terrestrial,nocturnal,0.005102041,
Dobsonia_moluccensis,Mammalia,Chiroptera,12.3,430,volant,nonfossorial,volant,nocturnal,0.005077363,
Echinops_telfairi,Mammalia,Afrosoricida,19,180,nonvolant,nonfossorial,semiarboreal,nocturnal,0.006443299,
Echymipera_rufescens,Mammalia,Peramelemorphia,3.1,1250,nonvolant,nonfossorial,terrestrial,nocturnal,0.002364159,
Elephantulus_intufi,Mammalia,Macroscelidea,9.3,52,nonvolant,semifossorial,terrestrial,diurnal,0.006212664,
Elephantulus_rozeti,Mammalia,Macroscelidea,7.2,48,nonvolant,semifossorial,terrestrial,diurnal,0.005886681,
Elephantulus_rufescens,Mammalia,Macroscelidea,7.9,58,nonvolant,semifossorial,terrestrial,diurnal,0.005974843,
Elephas_maximus,Mammalia,Proboscidea,65.5,3180000,nonvolant,nonfossorial,terrestrial,cathemeral,0.000636302,
Enhydra_lutris,Mammalia,Carnivora,27,25850,nonvolant,nonfossorial,aquatic,diurnal,0.004016049,
Eptesicus_fuscus,Mammalia,Chiroptera,19,23,volant,nonfossorial,volant,nocturnal,0.010865385,
Equus_asinus,Mammalia,Perissodactyla,47,164998,nonvolant,nonfossorial,terrestrial,diurnal,0.000929127,
Erethizon_dorsatum,Mammalia,Rodentia,23.4,8600,nonvolant,nonfossorial,semiarboreal,nocturnal,0.001394377,
Erinaceus_europaeus,Mammalia,Eulipotyphla,11.7,750,nonvolant,semifossorial,terrestrial,nocturnal,0.002511111,
Erythrocebus_patas,Mammalia,Primates,28.3,7750,nonvolant,nonfossorial,terrestrial,diurnal,0.001986,
Eulemur_fulvus,Mammalia,Primates,35.5,3150,nonvolant,nonfossorial,semiarboreal,diurnal,0.000774917,
Euphractus_sexcinctus,Mammalia,Cingulata,22.1,4850,nonvolant,semifossorial,terrestrial,cathemeral,0.000842152,
Fossa_fossana,Mammalia,Carnivora,21.4,1540,nonvolant,nonfossorial,semiarboreal,nocturnal,0.002236971,
Funisciurus_anerythrus,Mammalia,Rodentia,10,218,nonvolant,nonfossorial,semiarboreal,diurnal,0.009206349,
Galago_demidoff,Mammalia,Primates,13.4,60,nonvolant,nonfossorial,arboreal,nocturnal,0.005961538,
Galago_moholi,Mammalia,Primates,16.6,175,nonvolant,nonfossorial,arboreal,nocturnal,0.004291311,
Galea_musteloides,Mammalia,Rodentia,3.5,337.9,nonvolant,semifossorial,terrestrial,diurnal,0.004572119,
Galerella_sanguinea,Mammalia,Carnivora,12.6,500,nonvolant,nonfossorial,terrestrial,diurnal,0.004404,
Genetta_tigrina,Mammalia,Carnivora,21.3,1820,nonvolant,nonfossorial,semiarboreal,nocturnal,0.002453811,
Geocapromys_brownii,Mammalia,Rodentia,13.5,1500,nonvolant,semifossorial,terrestrial,nocturnal,0.001673905,
Geomys_bursarius,Mammalia,Rodentia,12,176.7,nonvolant,fossorial,terrestrial,cathemeral,0.003905809,
Gerbilliscus_afra,Mammalia,Rodentia,5.7,74.8,nonvolant,semifossorial,terrestrial,nocturnal,0.009546166,
Gerbillus_gerbillus,Mammalia,Rodentia,5.9,30,nonvolant,semifossorial,terrestrial,nocturnal,0.007949869,
Gerbillus_perpallidus,Mammalia,Rodentia,5.5,50,nonvolant,semifossorial,terrestrial,nocturnal,0.005123568,
Gerbillus_pyramidum,Mammalia,Rodentia,8.2,37,nonvolant,semifossorial,terrestrial,nocturnal,0.005555556,
Glossophaga_soricina,Mammalia,Chiroptera,11,10,volant,nonfossorial,volant,nocturnal,0.01244213,
Graphiurus_murinus,Mammalia,Rodentia,6.9,24,nonvolant,nonfossorial,semiarboreal,nocturnal,0.005868545,
Gulo_gulo,Mammalia,Carnivora,19.5,16333.3,nonvolant,nonfossorial,terrestrial,cathemeral,0.002565836,
Acinonyx_jubatus,Mammalia,Carnivora,20.5,53500,nonvolant,nonfossorial,terrestrial,diurnal,0.001321973,
Acomys_cahirinus,Mammalia,Rodentia,5.9,45.2,nonvolant,nonfossorial,terrestrial,nocturnal,0.006142857,
Ailurus_fulgens,Mammalia,Carnivora,19,4325,nonvolant,nonfossorial,terrestrial,cathemeral,0.000853659,
Alouatta_palliata,Mammalia,Primates,24,7000,nonvolant,nonfossorial,arboreal,diurnal,0.002454818,
Ammospermophilus_leucurus,Mammalia,Rodentia,11.2,105,nonvolant,semifossorial,terrestrial,diurnal,0.005758102,
Antechinomys_laniger,Mammalia,Dasyuromorphia,3.5,24,nonvolant,nonfossorial,terrestrial,nocturnal,0.005509642,
Antechinus_flavipes,Mammalia,Dasyuromorphia,3.9,45,nonvolant,nonfossorial,arboreal,nocturnal,0.005436081,
Antechinus_stuartii,Mammalia,Dasyuromorphia,5.4,27.5,nonvolant,nonfossorial,arboreal,nocturnal,0.005555556,
Antechinus_swainsonii,Mammalia,Dasyuromorphia,3.3,41,nonvolant,nonfossorial,terrestrial,diurnal,0.005314732,
Antilocapra_americana,Mammalia,Cetartiodactyla,15.5,46100,nonvolant,nonfossorial,terrestrial,cathemeral,0.001561802,
Antrozous_pallidus,Mammalia,Chiroptera,14.8,20.8,volant,nonfossorial,volant,nocturnal,0.004727273,
Aotus_trivirgatus,Mammalia,Primates,30.1,800,nonvolant,nonfossorial,arboreal,nocturnal,0.002510893,
Apodemus_flavicollis,Mammalia,Rodentia,4.5,29.4,nonvolant,semifossorial,terrestrial,nocturnal,0.010111576,
Apodemus_sylvaticus,Mammalia,Rodentia,6.3,23.4,nonvolant,semifossorial,terrestrial,nocturnal,0.010111576,
Arctictis_binturong,Mammalia,Carnivora,27,12250,nonvolant,nonfossorial,arboreal,nocturnal,0.000440593,
Arctocebus_calabarensis,Mammalia,Primates,13,257.5,nonvolant,nonfossorial,arboreal,nocturnal,0.003573355,
Arctogalidia_trivirgata,Mammalia,Carnivora,16.1,2250,nonvolant,nonfossorial,arboreal,nocturnal,0.001533997,
Artibeus_jamaicensis,Mammalia,Chiroptera,19.2,42.2,volant,nonfossorial,volant,nocturnal,0.0070059,
Atelerix_albiventris,Mammalia,Eulipotyphla,11.4,500,nonvolant,semifossorial,terrestrial,nocturnal,0.001839506,
Baiomys_taylori,Mammalia,Rodentia,3.3,8,nonvolant,nonfossorial,terrestrial,crepuscular,0.011035008,
Bassariscus_sumichrasti,Mammalia,Carnivora,24,900,nonvolant,nonfossorial,arboreal,nocturnal,0.002760444,
Bettongia_penicillata,Mammalia,Diprotodontia,18.8,1500,nonvolant,semifossorial,terrestrial,nocturnal,0.002873832,
Blarina_brevicauda,Mammalia,Eulipotyphla,2.2,21.6,nonvolant,semifossorial,terrestrial,cathemeral,0.013888889,
Burramys_parvus,Mammalia,Diprotodontia,12,45,nonvolant,semifossorial,semiarboreal,nocturnal,0.00464008,
Callimico_goeldii,Mammalia,Primates,22.2,555,nonvolant,nonfossorial,semiarboreal,diurnal,0.002787752,
Callithrix_jacchus,Mammalia,Primates,22.8,255.2,nonvolant,nonfossorial,arboreal,diurnal,0.002395443,
Callithrix_pygmaea,Mammalia,Primates,18.6,124,nonvolant,nonfossorial,arboreal,diurnal,0.005238095,
Caluromys_derbianus,Mammalia,Didelphimorphia,8.7,330,nonvolant,nonfossorial,arboreal,nocturnal,0.003182384,
Camelus_dromedarius,Mammalia,Cetartiodactyla,28.4,434000,nonvolant,nonfossorial,terrestrial,diurnal,0.000552198,
Canis_latrans,Mammalia,Carnivora,21.8,13250,nonvolant,semifossorial,terrestrial,nocturnal,0.0015,
Canis_lupus,Mammalia,Carnivora,20.6,26625,nonvolant,semifossorial,terrestrial,nocturnal,0.001366582,
Canis_mesomelas,Mammalia,Carnivora,16.7,10250,nonvolant,nonfossorial,terrestrial,cathemeral,0.002727404,
Cannomys_badius,Mammalia,Rodentia,4.8,650,nonvolant,semifossorial,terrestrial,crepuscular,0.002785853,
Capreolus_capreolus,Mammalia,Cetartiodactyla,17.5,21666.7,nonvolant,nonfossorial,terrestrial,crepuscular,0.00218655,
Capromys_pilorides,Mammalia,Rodentia,13.8,4683.3,nonvolant,nonfossorial,arboreal,diurnal,0.00128327,
Carollia_perspicillata,Mammalia,Chiroptera,17,15,volant,nonfossorial,volant,nocturnal,0.011744966,
Castor_canadensis,Mammalia,Rodentia,23.4,20250,nonvolant,nonfossorial,terrestrial,nocturnal,0.001699956,
Cavia_porcellus,Mammalia,Rodentia,12,728,nonvolant,semifossorial,terrestrial,crepuscular,0.003069246,
Cercartetus_nanus,Mammalia,Diprotodontia,10.3,40,nonvolant,nonfossorial,arboreal,nocturnal,0.004801587,
Cercopithecus_mitis,Mammalia,Primates,37.8,9000,nonvolant,nonfossorial,arboreal,diurnal,0.002228774,
Cerdocyon_thous,Mammalia,Carnivora,12.7,6500,nonvolant,nonfossorial,terrestrial,nocturnal,0.001561862,
Cervus_elaphus,Mammalia,Cetartiodactyla,31.5,2.00E+05,nonvolant,nonfossorial,terrestrial,diurnal,0.001561782,
Chaetodipus_fallax,Mammalia,Rodentia,8.3,18.7,nonvolant,semifossorial,terrestrial,nocturnal,0.007653061,
Chaetophractus_vellerosus,Mammalia,Cingulata,16.2,840,nonvolant,semifossorial,terrestrial,cathemeral,0.001561562,
Chaetophractus_villosus,Mammalia,Cingulata,25.2,3000,nonvolant,semifossorial,terrestrial,cathemeral,0.000993025,
Cheirogaleus_medius,Mammalia,Primates,23.2,380,nonvolant,nonfossorial,arboreal,nocturnal,0.00362963,
Chinchilla_lanigera,Mammalia,Rodentia,17.2,642.5,nonvolant,semifossorial,terrestrial,nocturnal,0.002953834,
Chironectes_minimus,Mammalia,Didelphimorphia,3.1,700,nonvolant,semifossorial,terrestrial,nocturnal,0.002214999,
Choloepus_hoffmanni,Mammalia,Pilosa,37,6250,nonvolant,nonfossorial,arboreal,nocturnal,0.001048366,
Coendou_prehensilis,Mammalia,Rodentia,26.6,3900,nonvolant,nonfossorial,arboreal,nocturnal,0.001561653,
Colobus_guereza,Mammalia,Primates,35,9950,nonvolant,nonfossorial,arboreal,diurnal,0.001589683,
Condylura_cristata,Mammalia,Eulipotyphla,2.5,55.3,nonvolant,fossorial,terrestrial,cathemeral,0.01255102,
Conilurus_penicillatus,Mammalia,Rodentia,4.5,144,nonvolant,nonfossorial,semiarboreal,nocturnal,0.004232432,
Connochaetes_taurinus,Mammalia,Cetartiodactyla,24.3,164500,nonvolant,nonfossorial,terrestrial,diurnal,0.001170855,
Cricetomys_gambianus,Mammalia,Rodentia,8.4,1500,nonvolant,semifossorial,terrestrial,nocturnal,0.003402997,
Cricetus_cricetus,Mammalia,Rodentia,3.6,506.7,nonvolant,semifossorial,terrestrial,crepuscular,0.00356814,
Crocidura_flavescens,Mammalia,Eulipotyphla,2.2,45,nonvolant,semifossorial,terrestrial,cathemeral,0.00746988,
Crocidura_leucodon,Mammalia,Eulipotyphla,2.9,11,nonvolant,semifossorial,terrestrial,cathemeral,0.014245014,
Crocidura_suaveolens,Mammalia,Eulipotyphla,2.7,7.7,nonvolant,semifossorial,terrestrial,cathemeral,0.016239316,
Cryptomys_damarensis,Mammalia,Rodentia,15.5,180,nonvolant,fossorial,terrestrial,cathemeral,0.003177778,
Cryptotis_parva,Mammalia,Eulipotyphla,3.5,4.5,nonvolant,semifossorial,terrestrial,cathemeral,0.01702509,
Cuniculus_paca,Mammalia,Rodentia,16.3,9000,nonvolant,semifossorial,terrestrial,nocturnal,0.001673462,
Cynomys_ludovicianus,Mammalia,Rodentia,11,1125,nonvolant,semifossorial,arboreal,diurnal,0.002120231,
Cynopterus_brachyotis,Mammalia,Chiroptera,10.1,45,volant,nonfossorial,volant,nocturnal,0.007055853,
Dasycercus_cristicauda,Mammalia,Dasyuromorphia,7.4,115,nonvolant,semifossorial,terrestrial,cathemeral,0.002909159,
Dasyprocta_azarae,Mammalia,Rodentia,11.8,2650,nonvolant,nonfossorial,terrestrial,diurnal,0.002733033,
Dasyprocta_leporina,Mammalia,Rodentia,17.8,3265,nonvolant,nonfossorial,terrestrial,diurnal,0.003235579,
Dasypus_novemcinctus,Mammalia,Cingulata,22.3,5500,nonvolant,semifossorial,terrestrial,cathemeral,0.001338688,
Dasyuroides_byrnei,Mammalia,Dasyuromorphia,8,105,nonvolant,semifossorial,terrestrial,nocturnal,0.003901109,
Dasyurus_geoffroii,Mammalia,Dasyuromorphia,6.2,890,nonvolant,nonfossorial,terrestrial,nocturnal,0.002342852,
Dasyurus_hallucatus,Mammalia,Dasyuromorphia,5.9,525,nonvolant,nonfossorial,terrestrial,nocturnal,0.002844368,
Dasyurus_maculatus,Mammalia,Dasyuromorphia,6.8,5500,nonvolant,nonfossorial,terrestrial,nocturnal,0.00184094,
Heliosciurus_rufobrachium,Mammalia,Rodentia,8.7,326.5,nonvolant,nonfossorial,semiarboreal,crepuscular,0.003236715,
Hemiechinus_auritus,Mammalia,Eulipotyphla,7.6,342,nonvolant,semifossorial,terrestrial,nocturnal,0.002118056,
Herpestes_javanicus,Mammalia,Carnivora,16.6,800,nonvolant,nonfossorial,terrestrial,cathemeral,0.003679214,
Heterocephalus_glaber,Mammalia,Rodentia,31,35,nonvolant,fossorial,terrestrial,cathemeral,0.003703704,
Hyaena_hyaena,Mammalia,Carnivora,25,40000,nonvolant,nonfossorial,terrestrial,nocturnal,0.000931487,
Hydrochoerus_hydrochaeris,Mammalia,Rodentia,15.1,55000,nonvolant,nonfossorial,terrestrial,crepuscular,0.001392988,
Hydromys_chrysogaster,Mammalia,Rodentia,7.3,850,nonvolant,nonfossorial,aquatic,cathemeral,0.003274074,
Hystrix_africaeaustralis,Mammalia,Rodentia,23.1,24000,nonvolant,semifossorial,terrestrial,nocturnal,0.001059709,
Isoodon_macrourus,Mammalia,Peramelemorphia,6.8,1600,nonvolant,nonfossorial,terrestrial,nocturnal,0.002287055,
Isoodon_obesulus,Mammalia,Peramelemorphia,6.5,700,nonvolant,nonfossorial,terrestrial,nocturnal,0.001727397,
Jaculus_jaculus,Mammalia,Rodentia,7.3,55,nonvolant,semifossorial,terrestrial,nocturnal,0.006851852,
Jaculus_orientalis,Mammalia,Rodentia,5.5,134,nonvolant,semifossorial,terrestrial,nocturnal,0.00557554,
Kerodon_rupestris,Mammalia,Rodentia,12.9,950,nonvolant,semifossorial,terrestrial,nocturnal,0.00251075,
Kobus_ellipsiprymnus,Mammalia,Cetartiodactyla,30,175333,nonvolant,nonfossorial,terrestrial,crepuscular,0.001489278,
Lagidium_viscacia,Mammalia,Rodentia,19.5,1540,nonvolant,nonfossorial,terrestrial,diurnal,0.001896887,
Lagorchestes_conspicillatus,Mammalia,Diprotodontia,8.8,3000,nonvolant,nonfossorial,terrestrial,nocturnal,0.00178467,
Lagostomus_maximus,Mammalia,Rodentia,10.8,6000,nonvolant,semifossorial,terrestrial,crepuscular,0.001562058,
Lama_glama,Mammalia,Cetartiodactyla,28.9,140000,nonvolant,nonfossorial,terrestrial,diurnal,0.00129513,
Lasiopodomys_brandtii,Mammalia,Rodentia,4.1,40,nonvolant,semifossorial,terrestrial,diurnal,0.010646766,
Lasiorhinus_latifrons,Mammalia,Diprotodontia,29.9,25500,nonvolant,semifossorial,terrestrial,nocturnal,0.000557778,
Lasiurus_cinereus,Mammalia,Chiroptera,14,24,volant,nonfossorial,volant,nocturnal,0.004606365,
Lemmus_lemmus,Mammalia,Rodentia,3.3,70,nonvolant,semifossorial,terrestrial,cathemeral,0.0133875,
Leontopithecus_rosalia,Mammalia,Primates,31.6,654.5,nonvolant,nonfossorial,arboreal,diurnal,0.002899045,
Leopardus_pardalis,Mammalia,Carnivora,28.2,8800,nonvolant,nonfossorial,terrestrial,nocturnal,0.00167328,
Leopardus_wiedii,Mammalia,Carnivora,24,3666.7,nonvolant,nonfossorial,arboreal,nocturnal,0.001450617,
Leptailurus_serval,Mammalia,Carnivora,22.4,13350,nonvolant,nonfossorial,terrestrial,nocturnal,0.001729098,
Leptonycteris_curasoae,Mammalia,Chiroptera,10.1,25,volant,nonfossorial,volant,nocturnal,0.00787037,
Lepus_timidus,Mammalia,Lagomorpha,18,4175,nonvolant,nonfossorial,terrestrial,nocturnal,0.004121693,
Loris_tardigradus,Mammalia,Primates,19.3,238.2,nonvolant,nonfossorial,arboreal,nocturnal,0.00251373,
Lutra_lutra,Mammalia,Carnivora,18.2,6750,nonvolant,semifossorial,aquatic,cathemeral,0.00251,
Lutreolina_crassicaudata,Mammalia,Didelphimorphia,2.9,370,nonvolant,nonfossorial,terrestrial,nocturnal,0.002789409,
Lycaon_pictus,Mammalia,Carnivora,17,26500,nonvolant,nonfossorial,terrestrial,crepuscular,0.003772571,
Lynx_rufus,Mammalia,Carnivora,32.3,8600,nonvolant,nonfossorial,terrestrial,nocturnal,0.002504433,
Macaca_mulatta,Mammalia,Primates,40,8235,nonvolant,nonfossorial,semiarboreal,diurnal,0.001952024,
Macroderma_gigas,Mammalia,Chiroptera,22.6,150,volant,nonfossorial,terrestrial,nocturnal,0.004897388,
Macropus_eugenii,Mammalia,Diprotodontia,15.1,6500,nonvolant,nonfossorial,terrestrial,nocturnal,0.001617668,
Macropus_robustus,Mammalia,Diprotodontia,22,30000,nonvolant,nonfossorial,terrestrial,nocturnal,0.001059822,
Macropus_rufus,Mammalia,Diprotodontia,25,55000,nonvolant,nonfossorial,terrestrial,cathemeral,0.00099287,
Macroscelides_proboscideus,Mammalia,Macroscelidea,8.7,40,nonvolant,semifossorial,terrestrial,cathemeral,0.00744559,
Macrotis_lagotis,Mammalia,Peramelemorphia,9.6,1300,nonvolant,nonfossorial,terrestrial,nocturnal,0.001953511,
Macrotus_californicus,Mammalia,Chiroptera,17,11.6,volant,nonfossorial,volant,nocturnal,0.00688509,
Madoqua_kirkii,Mammalia,Cetartiodactyla,17.3,5000,nonvolant,nonfossorial,terrestrial,cathemeral,0.002342995,
Marmosa_robinsoni,Mammalia,Didelphimorphia,5,75,nonvolant,nonfossorial,arboreal,nocturnal,0.004462659,
Marmota_monax,Mammalia,Rodentia,14,4000,nonvolant,fossorial,terrestrial,diurnal,0.00139413,
Martes_martes,Mammalia,Carnivora,18.2,1300,nonvolant,nonfossorial,semiarboreal,nocturnal,0.00446256,
Meles_meles,Mammalia,Carnivora,18.6,13000,nonvolant,semifossorial,terrestrial,nocturnal,0.001506033,
Melursus_ursinus,Mammalia,Carnivora,33.3,1.00E+05,nonvolant,nonfossorial,terrestrial,nocturnal,0.000702783,
Mephitis_mephitis,Mammalia,Carnivora,13.9,3500,nonvolant,semifossorial,terrestrial,nocturnal,0.001483736,
Meriones_unguiculatus,Mammalia,Rodentia,6.3,53.2,nonvolant,semifossorial,terrestrial,cathemeral,0.006435808,
Mesocricetus_auratus,Mammalia,Rodentia,3.9,105,nonvolant,semifossorial,terrestrial,nocturnal,0.004796498,
Metachirus_nudicaudatus,Mammalia,Didelphimorphia,3,440,nonvolant,nonfossorial,semiarboreal,nocturnal,0.003404762,
Micaelamys_namaquensis,Mammalia,Rodentia,4.7,47.6,nonvolant,nonfossorial,semiarboreal,nocturnal,0.004399196,
Microgale_dobsoni,Mammalia,Afrosoricida,5.6,37.8,nonvolant,semifossorial,terrestrial,cathemeral,0.005231689,
Microgale_talazaci,Mammalia,Afrosoricida,5.8,50,nonvolant,semifossorial,semiarboreal,cathemeral,0.005492424,
Micromys_minutus,Mammalia,Rodentia,3.8,6,nonvolant,nonfossorial,terrestrial,cathemeral,0.016141141,
Microtus_agrestis,Mammalia,Rodentia,4.8,46,nonvolant,semifossorial,terrestrial,cathemeral,0.012698413,
Microtus_arvalis,Mammalia,Rodentia,4.8,27.5,nonvolant,semifossorial,terrestrial,cathemeral,0.01400463,
Microtus_guentheri,Mammalia,Rodentia,3.9,51.6,nonvolant,semifossorial,terrestrial,cathemeral,0.010210553,
Microtus_ochrogaster,Mammalia,Rodentia,5.3,40,nonvolant,semifossorial,terrestrial,cathemeral,0.009728083,
Microtus_pinetorum,Mammalia,Rodentia,3.8,25.5,nonvolant,semifossorial,terrestrial,cathemeral,0.013071895,
Miniopterus_schreibersii,Mammalia,Chiroptera,22,13,volant,nonfossorial,volant,nocturnal,0.013251784,
Monodelphis_domestica,Mammalia,Didelphimorphia,5.1,105,nonvolant,nonfossorial,semiarboreal,nocturnal,0.003221154,
Mus_minutoides,Mammalia,Rodentia,4.3,7.2,nonvolant,semifossorial,terrestrial,nocturnal,0.014725569,
Mus_musculus,Mammalia,Rodentia,4,20.5,nonvolant,semifossorial,terrestrial,nocturnal,0.027651515,
Mustela_erminea,Mammalia,Carnivora,12.5,110.3,nonvolant,semifossorial,terrestrial,nocturnal,0.008253968,
Mustela_nivalis,Mammalia,Carnivora,9.1,46.9,nonvolant,semifossorial,terrestrial,nocturnal,0.012770563,
Mustela_putorius,Mammalia,Carnivora,11.1,809,nonvolant,semifossorial,terrestrial,nocturnal,0.004462081,
Myocastor_coypus,Mammalia,Rodentia,8.5,7850,nonvolant,semifossorial,terrestrial,cathemeral,0.003904303,
Myodes_glareolus,Mammalia,Rodentia,4.9,20.8,nonvolant,nonfossorial,terrestrial,cathemeral,0.012985547,
Myoprocta_acouchy,Mammalia,Rodentia,14.8,775,nonvolant,semifossorial,terrestrial,diurnal,0.003066496,
Myosorex_varius,Mammalia,Eulipotyphla,2.1,17.5,nonvolant,semifossorial,terrestrial,cathemeral,0.010840108,
Myotis_lucifugus,Mammalia,Chiroptera,34,10,volant,nonfossorial,volant,nocturnal,0.009615385,
Myotis_nigricans,Mammalia,Chiroptera,7,4.2,volant,nonfossorial,volant,nocturnal,0.007297297,
Myotis_velifer,Mammalia,Chiroptera,11.3,10.1,volant,nonfossorial,volant,nocturnal,0.003364172,
Myotis_vivesi,Mammalia,Chiroptera,10,25,volant,nonfossorial,aquatic,nocturnal,0.008,
Myotis_yumanensis,Mammalia,Chiroptera,14,6.25,volant,nonfossorial,volant,nocturnal,0.0094,
Myrmecobius_fasciatus,Mammalia,Dasyuromorphia,11,471.5,nonvolant,nonfossorial,terrestrial,diurnal,0.002158565,
Myrmecophaga_tridactyla,Mammalia,Pilosa,31,28500,nonvolant,nonfossorial,terrestrial,nocturnal,0.000474129,
Mystromys_albicaudatus,Mammalia,Rodentia,6.3,106,nonvolant,semifossorial,terrestrial,nocturnal,0.007521914,
Nasua_narica,Mammalia,Carnivora,26.4,3750,nonvolant,nonfossorial,semiarboreal,cathemeral,0.001835453,
Nasua_nasua,Mammalia,Carnivora,23.7,4750,nonvolant,nonfossorial,semiarboreal,cathemeral,0.001394444,
Neomys_fodiens,Mammalia,Eulipotyphla,3.1,15,nonvolant,semifossorial,terrestrial,cathemeral,0.016255144,
Neotoma_albigula,Mammalia,Rodentia,9.5,209,nonvolant,nonfossorial,terrestrial,nocturnal,0.004074839,
Neotoma_lepida,Mammalia,Rodentia,10.5,236,nonvolant,nonfossorial,terrestrial,nocturnal,0.004011231,
Noctilio_leporinus,Mammalia,Chiroptera,11.8,50,volant,nonfossorial,aquatic,nocturnal,0.00428051,
Notomys_alexis,Mammalia,Rodentia,6.4,35,nonvolant,semifossorial,terrestrial,nocturnal,0.007825937,
Nyctereutes_procyonoides,Mammalia,Carnivora,16.6,6500,nonvolant,semifossorial,terrestrial,cathemeral,0.002235057,
Nycticebus_coucang,Mammalia,Primates,25.8,890.5,nonvolant,nonfossorial,arboreal,nocturnal,0.001339744,
Ochotona_princeps,Mammalia,Lagomorpha,7,100,nonvolant,semifossorial,terrestrial,cathemeral,0.008537207,
Ochrotomys_nuttalli,Mammalia,Rodentia,8.4,22,nonvolant,nonfossorial,semiarboreal,nocturnal,0.00774359,
Octodon_degus,Mammalia,Rodentia,14,235,nonvolant,semifossorial,terrestrial,diurnal,0.005191478,
Odocoileus_virginianus,Mammalia,Cetartiodactyla,23,87000,nonvolant,nonfossorial,terrestrial,crepuscular,0.001394455,
Onychomys_torridus,Mammalia,Rodentia,4.6,22,nonvolant,semifossorial,terrestrial,nocturnal,0.00858057,
Oreamnos_americanus,Mammalia,Cetartiodactyla,20.8,90000,nonvolant,nonfossorial,terrestrial,cathemeral,0.00145026,
Ornithorhynchus_anatinus,Mammalia,Monotremata,22.6,1250,nonvolant,semifossorial,aquatic,crepuscular,0.002008547,
Orycteropus_afer,Mammalia,Tubulidentata,29.8,60000,nonvolant,semifossorial,terrestrial,nocturnal,0.000713947,
Oryx_leucoryx,Mammalia,Cetartiodactyla,20.8,121350,nonvolant,nonfossorial,terrestrial,diurnal,0.001235863,
Otolemur_crassicaudatus,Mammalia,Primates,22.7,1094.5,nonvolant,nonfossorial,arboreal,nocturnal,0.002419923,
Otolemur_garnettii,Mammalia,Primates,18.3,1300,nonvolant,nonfossorial,arboreal,nocturnal,0.002988584,
Ovis_canadensis,Mammalia,Cetartiodactyla,20.6,70275,nonvolant,nonfossorial,terrestrial,diurnal,0.002007991,
Pan_troglodytes,Mammalia,Primates,59.4,44983.5,nonvolant,nonfossorial,semiarboreal,diurnal,0.001494838,
Panthera_leo,Mammalia,Carnivora,27,175000,nonvolant,nonfossorial,terrestrial,nocturnal,0.000964966,
