species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriallity,foraging_environment,daily_activity,BMR,NOTES
Panthera_onca,Mammalia,Carnivora,28,81150,nonvolant,nonfossorial,terrestrial,cathemeral,0.001238261,
Panthera_tigris,Mammalia,Carnivora,26.3,119700,nonvolant,nonfossorial,terrestrial,nocturnal,0.00097053,
Papio_hamadryas,Mammalia,Primates,37.5,18000,nonvolant,nonfossorial,terrestrial,diurnal,0.001631263,
Paraechinus_aethiopicus,Mammalia,Eulipotyphla,6.3,188,nonvolant,semifossorial,terrestrial,nocturnal,0.001395062,
Pecari_tajacu,Mammalia,Cetartiodactyla,31.5,20200,nonvolant,nonfossorial,terrestrial,cathemeral,0.001606436,
Pedetes_capensis,Mammalia,Rodentia,20,3500,nonvolant,semifossorial,terrestrial,nocturnal,0.001923913,
Perameles_gunnii,Mammalia,Peramelemorphia,6.1,766,nonvolant,nonfossorial,terrestrial,nocturnal,0.002800005,
Perameles_nasuta,Mammalia,Peramelemorphia,5.6,859,nonvolant,nonfossorial,terrestrial,nocturnal,0.002734711,
Perodicticus_potto,Mammalia,Primates,26.8,1225,nonvolant,nonfossorial,arboreal,nocturnal,0.002064294,
Perognathus_longimembris,Mammalia,Rodentia,8.3,8,nonvolant,semifossorial,terrestrial,nocturnal,0.008536585,
Perognathus_parvus,Mammalia,Rodentia,5.8,20.1,nonvolant,semifossorial,terrestrial,nocturnal,0.008333333,
Peromyscus_californicus,Mammalia,Rodentia,5.5,42,nonvolant,nonfossorial,terrestrial,nocturnal,0.006552419,
Peromyscus_crinitus,Mammalia,Rodentia,7.7,16.5,nonvolant,nonfossorial,terrestrial,nocturnal,0.008201058,
Peromyscus_eremicus,Mammalia,Rodentia,7.4,25,nonvolant,nonfossorial,terrestrial,nocturnal,0.008207071,
Peromyscus_leucopus,Mammalia,Rodentia,7.9,23,nonvolant,nonfossorial,terrestrial,nocturnal,0.009302935,
Peromyscus_maniculatus,Mammalia,Rodentia,8.3,20.5,nonvolant,nonfossorial,terrestrial,nocturnal,0.011343805,
Peromyscus_polionotus,Mammalia,Rodentia,5.5,14,nonvolant,nonfossorial,terrestrial,nocturnal,0.009953704,
Peromyscus_truei,Mammalia,Rodentia,5.4,25,nonvolant,nonfossorial,terrestrial,nocturnal,0.010521886,
Phalanger_gymnotis,Mammalia,Diprotodontia,18.9,2400,nonvolant,semifossorial,arboreal,nocturnal,0.00184712,
Phascogale_tapoatafa,Mammalia,Dasyuromorphia,5.9,193.5,nonvolant,nonfossorial,arboreal,nocturnal,0.004511677,
Phascolarctos_cinereus,Mammalia,Diprotodontia,22.1,9300,nonvolant,nonfossorial,arboreal,nocturnal,0.001217021,
Philander_opossum,Mammalia,Didelphimorphia,4.4,450,nonvolant,nonfossorial,terrestrial,nocturnal,0.002511466,
Philantomba_monticola,Mammalia,Cetartiodactyla,15.9,6250,nonvolant,nonfossorial,terrestrial,nocturnal,0.002398359,
Phodopus_sungorus,Mammalia,Rodentia,3.9,23.4,nonvolant,semifossorial,terrestrial,crepuscular,0.015713706,
Phyllostomus_discolor,Mammalia,Chiroptera,9,43.4,volant,nonfossorial,arboreal,nocturnal,0.005721393,
Phyllostomus_hastatus,Mammalia,Chiroptera,18,81,volant,nonfossorial,arboreal,nocturnal,0.004684613,
Planigale_maculata,Mammalia,Dasyuromorphia,5.8,10,nonvolant,nonfossorial,terrestrial,nocturnal,0.007058824,
Planigale_tenuirostris,Mammalia,Dasyuromorphia,5.2,5.3,nonvolant,nonfossorial,terrestrial,nocturnal,0.008998435,
Platyrrhinus_lineatus,Mammalia,Chiroptera,13,22,volant,nonfossorial,arboreal,nocturnal,0.011415525,
Plecotus_auritus,Mammalia,Chiroptera,30,7.8,volant,nonfossorial,volant,nocturnal,0.008,
Podomys_floridanus,Mammalia,Rodentia,7.4,32,nonvolant,semifossorial,terrestrial,nocturnal,0.009379509,
Potorous_tridactylus,Mammalia,Diprotodontia,14.5,1430,nonvolant,nonfossorial,terrestrial,nocturnal,0.002509921,
Potos_flavus,Mammalia,Carnivora,38.4,3000,nonvolant,nonfossorial,arboreal,nocturnal,0.001762731,
Priodontes_maximus,Mammalia,Cingulata,15,33000,nonvolant,semifossorial,terrestrial,nocturnal,0.000373731,
Procavia_capensis,Mammalia,Hyracoidea,14.8,3600,nonvolant,nonfossorial,terrestrial,diurnal,0.001505787,
Procyon_cancrivorus,Mammalia,Carnivora,19,6270,nonvolant,nonfossorial,semiarboreal,nocturnal,0.002231801,
Procyon_lotor,Mammalia,Carnivora,21,6000,nonvolant,nonfossorial,semiarboreal,nocturnal,0.002526928,
Proechimys_semispinosus,Mammalia,Rodentia,5.8,500,nonvolant,semifossorial,terrestrial,nocturnal,0.003514056,
Propithecus_verreauxi,Mammalia,Primates,30.5,5000,nonvolant,nonfossorial,semiarboreal,diurnal,0.001238276,
Proteles_cristata,Mammalia,Carnivora,20,10000,nonvolant,semifossorial,terrestrial,nocturnal,0.001506173,
Pseudantechinus_macdonnellensis,Mammalia,Dasyuromorphia,7,32.5,nonvolant,nonfossorial,terrestrial,nocturnal,0.003544728,
Pseudocheirus_peregrinus,Mammalia,Diprotodontia,10.1,850,nonvolant,nonfossorial,semiarboreal,nocturnal,0.001840871,
Pteropus_giganteus,Mammalia,Chiroptera,40,1175,volant,nonfossorial,volant,nocturnal,0.002900312,
Pteropus_hypomelanus,Mammalia,Chiroptera,20.3,450,volant,nonfossorial,volant,nocturnal,0.003125533,
Pteropus_poliocephalus,Mammalia,Chiroptera,23.6,675,volant,nonfossorial,volant,nocturnal,0.002954292,
Pteropus_pumilus,Mammalia,Chiroptera,17.2,200,volant,nonfossorial,volant,nocturnal,0.003633139,
Pteropus_rodricensis,Mammalia,Chiroptera,28,350,volant,nonfossorial,volant,nocturnal,0.002957869,
Pteropus_scapulatus,Mammalia,Chiroptera,15.8,300,volant,nonfossorial,volant,nocturnal,0.003736955,
Pteropus_vampyrus,Mammalia,Chiroptera,20.9,872,volant,nonfossorial,volant,nocturnal,0.004406804,
Puma_concolor,Mammalia,Carnivora,23.8,63000,nonvolant,nonfossorial,terrestrial,cathemeral,0.001327509,
Puma_yagouaroundi,Mammalia,Carnivora,18.6,7000,nonvolant,nonfossorial,terrestrial,crepuscular,0.001154762,
Rangifer_tarandus,Mammalia,Cetartiodactyla,21.8,101250,nonvolant,nonfossorial,terrestrial,diurnal,0.001416755,
Raphicerus_campestris,Mammalia,Cetartiodactyla,9.3,13000,nonvolant,nonfossorial,terrestrial,diurnal,0.002147386,
Rattus_fuscipes,Mammalia,Rodentia,5.3,130,nonvolant,semifossorial,terrestrial,nocturnal,0.006176901,
Rattus_lutreolus,Mammalia,Rodentia,4.4,115,nonvolant,semifossorial,terrestrial,cathemeral,0.003236493,
Rattus_norvegicus,Mammalia,Rodentia,3.8,300,nonvolant,semifossorial,terrestrial,nocturnal,0.00836875,
Rattus_rattus,Mammalia,Rodentia,4.2,200,nonvolant,semifossorial,semiarboreal,nocturnal,0.007091751,
Reithrodon_auritus,Mammalia,Rodentia,5.5,72.2,nonvolant,semifossorial,terrestrial,nocturnal,0.005470846,
Rhabdomys_pumilio,Mammalia,Rodentia,4.5,51,nonvolant,nonfossorial,semiarboreal,diurnal,0.004489338,
Rousettus_aegyptiacus,Mammalia,Chiroptera,22.9,125,volant,nonfossorial,arboreal,nocturnal,0.004684932,
Saccopteryx_bilineata,Mammalia,Chiroptera,6,7.9,volant,nonfossorial,volant,nocturnal,0.010327635,
Saccostomus_campestris,Mammalia,Rodentia,4.5,47.4,nonvolant,semifossorial,terrestrial,nocturnal,0.004667392,
Saguinus_geoffroyi,Mammalia,Primates,20.5,499.3,nonvolant,nonfossorial,arboreal,diurnal,0.0058,
Saimiri_sciureus,Mammalia,Primates,30.2,925,nonvolant,nonfossorial,semiarboreal,diurnal,0.003905229,
Sarcophilus_harrisii,Mammalia,Dasyuromorphia,13,6500,nonvolant,nonfossorial,terrestrial,nocturnal,0.001561606,
Sciurus_carolinensis,Mammalia,Rodentia,23.6,533,nonvolant,nonfossorial,semiarboreal,diurnal,0.004686364,
Sekeetamys_calurus,Mammalia,Rodentia,7.3,65,nonvolant,nonfossorial,terrestrial,nocturnal,0.004295051,
Setifer_setosus,Mammalia,Afrosoricida,14.1,225,nonvolant,semifossorial,semiarboreal,nocturnal,0.001284067,
Setonix_brachyurus,Mammalia,Diprotodontia,13.8,3500,nonvolant,nonfossorial,terrestrial,nocturnal,0.001785082,
Sigmodon_hispidus,Mammalia,Rodentia,5.2,185,nonvolant,semifossorial,terrestrial,cathemeral,0.00462963,
Sminthopsis_crassicaudata,Mammalia,Dasyuromorphia,5,15,nonvolant,semifossorial,terrestrial,nocturnal,0.00690521,
Sminthopsis_macroura,Mammalia,Dasyuromorphia,4.9,20,nonvolant,semifossorial,terrestrial,nocturnal,0.005934343,
Sorex_araneus,Mammalia,Eulipotyphla,3.2,9,nonvolant,semifossorial,terrestrial,cathemeral,0.033910534,
Spalacopus_cyanus,Mammalia,Rodentia,10.8,98,nonvolant,semifossorial,terrestrial,nocturnal,0.004187092,
Spalax_ehrenbergi,Mammalia,Rodentia,20.2,160,nonvolant,fossorial,terrestrial,cathemeral,0.004796007,
Spermophilus_citellus,Mammalia,Rodentia,6.7,217,nonvolant,semifossorial,terrestrial,diurnal,0.0053,
Spermophilus_franklinii,Mammalia,Rodentia,7.2,459,nonvolant,semifossorial,terrestrial,diurnal,0.003607908,
Spermophilus_lateralis,Mammalia,Rodentia,10.4,157.6,nonvolant,semifossorial,terrestrial,diurnal,0.002515111,
Spermophilus_mohavensis,Mammalia,Rodentia,7.8,150,nonvolant,semifossorial,terrestrial,diurnal,0.002598005,
Spermophilus_tridecemlineatus,Mammalia,Rodentia,7.9,172.7,nonvolant,semifossorial,terrestrial,diurnal,0.003174603,
Spilogale_putorius,Mammalia,Carnivora,10.5,600,nonvolant,semifossorial,terrestrial,nocturnal,0.002621973,
Sturnira_lilium,Mammalia,Chiroptera,12,20,volant,nonfossorial,volant,nocturnal,0.010020294,
Suncus_murinus,Mammalia,Eulipotyphla,3.2,45.9,nonvolant,semifossorial,terrestrial,nocturnal,0.009400892,
Suricata_suricatta,Mammalia,Carnivora,20.6,776,nonvolant,semifossorial,terrestrial,diurnal,0.002065359,
Sus_scrofa,Mammalia,Cetartiodactyla,27,130000,nonvolant,semifossorial,terrestrial,nocturnal,0.000771481,
Sylvilagus_audubonii,Mammalia,Lagomorpha,7.8,900,nonvolant,nonfossorial,terrestrial,nocturnal,0.003631271,
Tachyglossus_aculeatus,Mammalia,Monotremata,49.5,3500,nonvolant,semifossorial,terrestrial,cathemeral,0.000730789,
Tamandua_tetradactyla,Mammalia,Pilosa,19,4500,nonvolant,nonfossorial,semiarboreal,cathemeral,0.001394444,
Tamias_minimus,Mammalia,Rodentia,10,44.1,nonvolant,semifossorial,terrestrial,diurnal,0.009179781,
Tamias_striatus,Mammalia,Rodentia,9.5,96,nonvolant,semifossorial,terrestrial,diurnal,0.005752606,
Tatera_indica,Mammalia,Rodentia,7,146.7,nonvolant,semifossorial,terrestrial,nocturnal,0.00485023,
Taurotragus_oryx,Mammalia,Cetartiodactyla,26.1,5.00E+05,nonvolant,nonfossorial,terrestrial,crepuscular,0.001338667,
Taxidea_taxus,Mammalia,Carnivora,25,8000,nonvolant,semifossorial,terrestrial,nocturnal,0.001673457,
Tenrec_ecaudatus,Mammalia,Afrosoricida,8.7,900,nonvolant,semifossorial,terrestrial,crepuscular,0.001842475,
Thomomys_bottae,Mammalia,Rodentia,6.1,115.5,nonvolant,fossorial,terrestrial,cathemeral,0.00468143,
Thrichomys_apereoides,Mammalia,Rodentia,7,373.5,nonvolant,nonfossorial,semiarboreal,crepuscular,0.003569659,
Tolypeutes_matacus,Mammalia,Cingulata,36.8,1500,nonvolant,semifossorial,terrestrial,nocturnal,0.001010536,
Tragulus_javanicus,Mammalia,Cetartiodactyla,14,2850,nonvolant,nonfossorial,terrestrial,nocturnal,0.003006838,
Trichosurus_vulpecula,Mammalia,Diprotodontia,15.9,2395,nonvolant,nonfossorial,arboreal,nocturnal,0.001785514,
Tupaia_belangeri,Mammalia,Scandentia,11.1,200,nonvolant,nonfossorial,semiarboreal,diurnal,0.003793309,
Tupaia_glis,Mammalia,Scandentia,12.4,200,nonvolant,nonfossorial,terrestrial,diurnal,0.004245709,
Urogale_everetti,Mammalia,Scandentia,11.5,350,nonvolant,semifossorial,terrestrial,diurnal,0.004796623,
Ursus_americanus,Mammalia,Carnivora,34,154250,nonvolant,nonfossorial,terrestrial,nocturnal,0.000658172,
Ursus_arctos,Mammalia,Carnivora,40,277500,nonvolant,nonfossorial,terrestrial,diurnal,0.000647042,
Vulpes_lagopus,Mammalia,Carnivora,16.3,5200,nonvolant,semifossorial,terrestrial,cathemeral,0.002129167,
Vulpes_macrotis,Mammalia,Carnivora,15.8,2500,nonvolant,semifossorial,terrestrial,nocturnal,0.002773359,
Vulpes_rueppellii,Mammalia,Carnivora,14.3,3200,nonvolant,semifossorial,terrestrial,nocturnal,0.002883786,
Vulpes_velox,Mammalia,Carnivora,15.9,2400,nonvolant,semifossorial,terrestrial,nocturnal,0.00279706,
Vulpes_vulpes,Mammalia,Carnivora,21.3,4131.7,nonvolant,semifossorial,terrestrial,nocturnal,0.002738744,
Vulpes_zerda,Mammalia,Carnivora,16.3,1250,nonvolant,semifossorial,terrestrial,nocturnal,0.002009243,
Xerus_inauris,Mammalia,Rodentia,11.5,588,nonvolant,semifossorial,terrestrial,diurnal,0.003358346,
Zaedyus_pichiy,Mammalia,Cingulata,12.5,1500,nonvolant,semifossorial,terrestrial,nocturnal,0.001283525,
Zapus_hudsonius,Mammalia,Rodentia,5.6,18,nonvolant,semifossorial,terrestrial,nocturnal,0.008361345,
Sterna_maxima,Aves,Charadriiformes,28.6,373,volant,nonfossorial,aquatic,cathemeral,0.006737265,
Accipiter_nisus,Aves,Accipitriformes,20.2,237.5,volant,nonfossorial,terrestrial,diurnal,0.00702963,
Aquila_chrysaetos,Aves,Accipitriformes,48,4800,volant,nonfossorial,terrestrial,diurnal,0.0016643,
Buteo_buteo,Aves,Accipitriformes,28.8,1012,volant,nonfossorial,terrestrial,diurnal,0.003713439,
Buteo_lineatus,Aves,Accipitriformes,22.4,607,volant,nonfossorial,terrestrial,diurnal,0.003206687,
Geranoaetus_melanoleucus,Aves,Accipitriformes,42,2447.5,volant,nonfossorial,terrestrial,diurnal,0.001814231,
Gypaetus_barbatus,Aves,Accipitriformes,40,5070,volant,nonfossorial,terrestrial,diurnal,0.002177712,
Pernis_apivorus,Aves,Accipitriformes,29,758,volant,nonfossorial,semiarboreal,diurnal,0.003626196,
Vultur_gryphus,Aves,Accipitriformes,79,10500,volant,nonfossorial,terrestrial,diurnal,0.001647093,
Anas_acuta,Aves,Anseriformes,27.4,721,volant,nonfossorial,aquatic,cathemeral,0.006051318,
Anas_clypeata,Aves,Anseriformes,22.6,613,volant,nonfossorial,aquatic,cathemeral,0.007077437,
Anas_crecca,Aves,Anseriformes,27.1,343.8,volant,nonfossorial,aquatic,cathemeral,0.00673552,
Anas_penelope,Aves,Anseriformes,35.2,660,volant,nonfossorial,terrestrial,cathemeral,0.003947165,
Anas_platyrhynchos,Aves,Anseriformes,29.1,1048.1,volant,nonfossorial,aquatic,cathemeral,0.003988235,
Anas_strepera,Aves,Anseriformes,28,791,volant,nonfossorial,aquatic,diurnal,0.007841972,
Apus_apus,Aves,Apodiformes,21.1,37.6,volant,nonfossorial,volant,diurnal,0.009710468,
Uria_aalge,Aves,Charadriiformes,42.8,992,volant,nonfossorial,aquatic,diurnal,0.007117155,
Uria_lomvia,Aves,Charadriiformes,29,964,volant,nonfossorial,aquatic,diurnal,0.006879676,
Pluvialis_squatarola,Aves,Charadriiformes,25.6,224,volant,nonfossorial,terrestrial,cathemeral,0.007876106,
Haematopus_ostralegus,Aves,Charadriiformes,43.3,480,volant,nonfossorial,terrestrial,cathemeral,0.005252708,
Larus_ridibundus,Aves,Charadriiformes,32.9,306,volant,nonfossorial,aquatic,cathemeral,0.006078431,
Larus_argentatus,Aves,Charadriiformes,49,1094,volant,nonfossorial,terrestrial,cathemeral,0.004804,
Larus_canus,Aves,Charadriiformes,33.7,430.6,volant,nonfossorial,terrestrial,diurnal,0.005236659,
Calidris_canutus,Aves,Charadriiformes,27.3,135,volant,nonfossorial,terrestrial,cathemeral,0.006769231,
Scolopax_rusticola,Aves,Charadriiformes,15.5,308.3,volant,nonfossorial,terrestrial,nocturnal,0.005023256,
Jabiru_mycteria,Aves,Ciconiiformes,27.4,5470,volant,nonfossorial,aquatic,diurnal,0.002408044,
Leptoptilos_javanicus,Aves,Ciconiiformes,31.1,5710,volant,nonfossorial,aquatic,diurnal,0.002603678,
Colius_striatus,Aves,Coliiformes,11.5,51,volant,nonfossorial,semiarboreal,diurnal,0.004609375,
Columba_livia,Aves,Columbiformes,35,358.7,volant,nonfossorial,terrestrial,diurnal,0.004620968,
Streptopelia_turtur,Aves,Columbiformes,13.2,132,volant,nonfossorial,terrestrial,diurnal,0.00738961,
Alcedo_atthis,Aves,Coraciiformes,21,31.4,volant,semifossorial,aquatic,diurnal,0.011020408,
Cuculus_canorus,Aves,Cuculiformes,12.9,111.5,volant,nonfossorial,semiarboreal,diurnal,0.007508961,
Geococcyx_californianus,Aves,Cuculiformes,9,376,volant,nonfossorial,terrestrial,diurnal,0.00513523,
Falco_sparverius,Aves,Falconiformes,17,117,volant,nonfossorial,terrestrial,diurnal,0.007205128,
Falco_subbuteo,Aves,Falconiformes,14.9,209.5,volant,nonfossorial,volant,crepuscular,0.006240385,
Callipepla_gambelii,Aves,Galliformes,7.4,166,volant,nonfossorial,terrestrial,diurnal,0.005987312,
Colinus_virginianus,Aves,Galliformes,6.4,194,volant,nonfossorial,terrestrial,diurnal,0.005742268,
Bonasa_umbellus,Aves,Galliformes,11,532,volant,nonfossorial,terrestrial,diurnal,0.003700311,
Coturnix_coturnix,Aves,Galliformes,14.6,96.5,volant,nonfossorial,terrestrial,diurnal,0.009185567,
Coturnix_japonica,Aves,Galliformes,6,115,volant,nonfossorial,terrestrial,diurnal,0.008504348,
Dendragapus_obscurus,Aves,Galliformes,14,1058.5,volant,nonfossorial,terrestrial,diurnal,0.004382847,
Gallus_gallus,Aves,Galliformes,30,779.8,volant,nonfossorial,terrestrial,diurnal,0.002215867,
Lagopus_lagopus,Aves,Galliformes,9,595.875,volant,nonfossorial,terrestrial,diurnal,0.005065256,
Perdix_perdix,Aves,Galliformes,5.2,492,volant,nonfossorial,terrestrial,diurnal,0.004347904,
Tetrao_urogallus,Aves,Galliformes,18,2950,volant,nonfossorial,terrestrial,diurnal,0.002946633,
Grus_canadensis,Aves,Gruiformes,36.6,3890,volant,nonfossorial,terrestrial,diurnal,0.002091517,
Fulica_atra,Aves,Gruiformes,20.6,734.3,volant,nonfossorial,terrestrial,cathemeral,0.004949029,
Psaltriparus_minimus,Aves,Passeriformes,9.1,5.3,volant,nonfossorial,arboreal,diurnal,0.022,
Eremophila_alpestris,Aves,Passeriformes,8,33.5,volant,nonfossorial,terrestrial,diurnal,0.011923077,
Lullula_arborea,Aves,Passeriformes,6,26.9,volant,nonfossorial,terrestrial,diurnal,0.022431373,
Bombycilla_garrulus,Aves,Passeriformes,13.5,54.5,volant,nonfossorial,arboreal,diurnal,0.013158621,
Corvus_corax,Aves,Passeriformes,69,1041.2,volant,nonfossorial,terrestrial,diurnal,0.004626434,
Corvus_frugilegus,Aves,Passeriformes,22.9,453.5,volant,nonfossorial,terrestrial,diurnal,0.006777692,
Garrulus_glandarius,Aves,Passeriformes,17.9,159.7,volant,nonfossorial,arboreal,diurnal,0.009150131,
Nucifraga_caryocatactes,Aves,Passeriformes,16.2,183,volant,nonfossorial,semiarboreal,diurnal,0.009156463,
Pica_pica,Aves,Passeriformes,21.7,178,volant,nonfossorial,terrestrial,diurnal,0.007526746,
Carduelis_flammea,Aves,Passeriformes,12.2,14.2,volant,semifossorial,semiarboreal,diurnal,0.020628571,
Carpodacus_mexicanus,Aves,Passeriformes,11.6,21.4,volant,nonfossorial,semiarboreal,diurnal,0.015196078,
Fringilla_coelebs,Aves,Passeriformes,29,20.7,volant,nonfossorial,semiarboreal,diurnal,0.017761905,
Fringilla_montifringilla,Aves,Passeriformes,14.8,23.2,volant,nonfossorial,semiarboreal,diurnal,0.018238095,
Loxia_curvirostra,Aves,Passeriformes,16.1,39.5,volant,nonfossorial,semiarboreal,diurnal,0.015406091,
Hirundo_rustica,Aves,Passeriformes,16,18.3,volant,nonfossorial,volant,diurnal,0.0175,
Riparia_riparia,Aves,Passeriformes,10,12.7,volant,semifossorial,volant,diurnal,0.017058824,
Lanius_collurio,Aves,Passeriformes,10.1,28.4,volant,nonfossorial,terrestrial,diurnal,0.014185185,
Lanius_excubitor,Aves,Passeriformes,12,63.5,volant,nonfossorial,terrestrial,diurnal,0.011243094,
Anthus_pratensis,Aves,Passeriformes,8.8,18.4,volant,nonfossorial,terrestrial,diurnal,0.015873016,
Anthus_trivialis,Aves,Passeriformes,8.8,23.4,volant,nonfossorial,terrestrial,diurnal,0.017208122,
Motacilla_flava,Aves,Passeriformes,8.8,17.7,volant,nonfossorial,terrestrial,diurnal,0.017482993,
Ficedula_hypoleuca,Aves,Passeriformes,15,13.9,volant,nonfossorial,semiarboreal,diurnal,0.01982906,
Oriolus_oriolus,Aves,Passeriformes,14.8,79,volant,nonfossorial,semiarboreal,diurnal,0.01,
Parus_major,Aves,Passeriformes,15.4,17.9,volant,nonfossorial,semiarboreal,diurnal,0.018,
Acridotheres_cristatellus,Aves,Passeriformes,13,116.5,volant,nonfossorial,terrestrial,diurnal,0.011023766,
Sturnus_vulgaris,Aves,Passeriformes,22.9,74,volant,nonfossorial,semiarboreal,diurnal,0.011693333,
Acrocephalus_arundinaceus,Aves,Passeriformes,10.1,30,volant,nonfossorial,semiarboreal,diurnal,0.01173516,
Acrocephalus_schoenobaenus,Aves,Passeriformes,11.8,11.8,volant,nonfossorial,semiarboreal,crepuscular,0.018956522,
Hippolais_icterina,Aves,Passeriformes,10.8,13.2,volant,nonfossorial,arboreal,diurnal,0.02016,
Phylloscopus_collybita,Aves,Passeriformes,8,8.3,volant,nonfossorial,semiarboreal,diurnal,0.020121951,
Sylvia_curruca,Aves,Passeriformes,9,11.4,volant,nonfossorial,arboreal,diurnal,0.018773585,
Troglodytes_troglodytes,Aves,Passeriformes,7,9.1,volant,nonfossorial,semiarboreal,diurnal,0.023666667,
Turdus_iliacus,Aves,Passeriformes,18.8,61.2,volant,nonfossorial,terrestrial,diurnal,0.012448276,
Contopus_virens,Aves,Passeriformes,8.2,13.9,volant,nonfossorial,volant,diurnal,0.018489209,
Empidonax_virescens,Aves,Passeriformes,12.1,12.6,volant,nonfossorial,arboreal,diurnal,0.014552846,
Myiarchus_crinitus,Aves,Passeriformes,14.9,32.1,volant,nonfossorial,volant,diurnal,0.011297935,
Sayornis_phoebe,Aves,Passeriformes,10.3,19.7,volant,nonfossorial,volant,diurnal,0.015925926,
Tyrannus_tyrannus,Aves,Passeriformes,11.1,39.9,volant,nonfossorial,volant,diurnal,0.012212885,
Zosterops_lateralis,Aves,Passeriformes,13,12.7,volant,nonfossorial,semiarboreal,diurnal,0.012648557,
Ardea_herodias,Aves,Pelecaniformes,24.5,1870,volant,nonfossorial,terrestrial,cathemeral,0.003314973,
Botaurus_lentiginosus,Aves,Pelecaniformes,8.3,706,volant,nonfossorial,terrestrial,nocturnal,0.004568667,
Pelecanus_occidentalis,Aves,Pelecaniformes,43,3115.8,volant,nonfossorial,aquatic,diurnal,0.003411126,
Picoides_pubescens,Aves,Piciformes,11.9,25.6,volant,nonfossorial,arboreal,diurnal,0.01764977,
Diomedea_exulans,Aves,Procellariiformes,50,7046.7,volant,nonfossorial,aquatic,nocturnal,0.002498155,
Bulweria_bulwerii,Aves,Procellariiformes,22.9,99,volant,nonfossorial,aquatic,nocturnal,0.005907759,
Barnardius_zonarius,Aves,Psittaciformes,17.9,150,volant,nonfossorial,semiarboreal,diurnal,0.005240876,
Cacatua_galerita,Aves,Psittaciformes,57,800,volant,nonfossorial,semiarboreal,diurnal,0.00440536,
Melopsittacus_undulatus,Aves,Psittaciformes,21,30,volant,nonfossorial,terrestrial,diurnal,0.012043651,
Myiopsitta_monachus,Aves,Psittaciformes,22.1,81.7,volant,nonfossorial,semiarboreal,diurnal,0.00645398,
Nymphicus_hollandicus,Aves,Psittaciformes,35,90,volant,nonfossorial,terrestrial,diurnal,0.008037383,
Aptenodytes_patagonicus,Aves,Sphenisciformes,26,13036.8,nonvolant,nonfossorial,aquatic,cathemeral,0.001950942,
Eudyptula_minor,Aves,Sphenisciformes,16,1105,nonvolant,nonfossorial,aquatic,diurnal,0.003889583,
Chordeiles_minor,Aves,Strigiformes,10,79.3,volant,nonfossorial,volant,nocturnal,0.006125,
Aegolius_acadicus,Aves,Strigiformes,17.5,117.9,volant,nonfossorial,terrestrial,nocturnal,0.005274194,
Asio_flammeus,Aves,Strigiformes,21.8,406,volant,nonfossorial,terrestrial,cathemeral,0.003172414,
Asio_otus,Aves,Strigiformes,27.8,249.7,volant,nonfossorial,terrestrial,nocturnal,0.003785714,
Bubo_virginianus,Aves,Strigiformes,29,1191.2,volant,nonfossorial,terrestrial,nocturnal,0.003606897,
Micrathene_whitneyi,Aves,Strigiformes,14,41,volant,nonfossorial,volant,crepuscular,0.005652179,
Strix_aluco,Aves,Strigiformes,22.4,520,volant,nonfossorial,terrestrial,nocturnal,0.004003846,
Strix_occidentalis,Aves,Strigiformes,25,588.7,volant,nonfossorial,semiarboreal,nocturnal,0.004684764,
Apteryx_australis,Aves,Struthioniformes,35,2600,nonvolant,nonfossorial,terrestrial,nocturnal,0.001692857,
Struthio_camelus,Aves,Struthioniformes,50,111000,nonvolant,nonfossorial,terrestrial,diurnal,0.00063051,
Fregata_magnificens,Aves,Suliformes,34,1078,volant,nonfossorial,aquatic,diurnal,0.002574212,
Sula_sula,Aves,Suliformes,23,1017,volant,nonfossorial,aquatic,cathemeral,0.004280236,
Upupa_epops,Aves,Upupiformes,11.1,67.1,volant,nonfossorial,terrestrial,diurnal,0.008238806,
Cynocephalus_volans,Mammalia,Dermoptera,17.5,1300,nonvolant,nonfossorial,terrestrial,diurnal,,"added by CEB, from AnAge"